year,state,fungicide (lb/acre),herbicide (lb/acre),insecticide (lb/acre),other chemicals (lb/acre),fertilizer (lb/acre),april-avg-temp,may-avg-temp,june-avg-temp,july-avg-temp,august-avg-temp,september-avg-temp,october-avg-temp,november-avg-temp,april-precipitation,may-precipitation,june-precipitation,july-precipitation,august-precipitation,september-precipitation,october-precipitation,november-precipitation,april-pdsi,may-pdsi,june-pdsi,july-pdsi,august-pdsi,september-pdsi,october-pdsi,november-pdsi,population-density,price-received,grain-yield,silage-yield,subsoil-score-april,subsoil-score-may,subsoil-score-june,subsoil-score-july,subsoil-score-august,subsoil-score-september,subsoil-score-october,topsoil-score-april,topsoil-score-may,topsoil-score-june,topsoil-score-july,topsoil-score-august,topsoil-score-september,topsoil-score-october
1926,minnesota,,,,,,39.5,57.8,59.7,68.5,65.4,53.1,41.8,21.4,0.44,2.14,3.33,2.93,3.54,5.26,2.25,1.6,-0.96,-1.66,-1.71,-1.92,-0.04,1.45,1.9,2.41,29.44700706256557,0.67,34.0,7.3,,,,,,,,,,,,,,
1926,missouri,,,,,,49.0,66.5,70.5,77.6,76.9,69.0,56.5,38.6,2.37,2.66,3.68,3.0,5.57,8.93,4.82,3.0,-0.29,-1.06,-1.14,-1.27,0.58,2.11,2.78,3.01,51.01353537141683,,26.0,6.2,,,,,,,,,,,,,,
1926,nebraska,,,,,,46.7,62.9,67.1,74.7,73.4,60.7,52.1,32.0,0.51,2.78,2.81,2.97,3.59,3.13,1.03,1.45,-1.57,-2.26,-2.59,-2.63,0.31,0.89,0.58,1.04,17.49241510522405,0.73,15.5,4.5,,,,,,,,,,,,,,
1927,illinois,,,,,,52.0,60.3,67.2,73.7,68.0,69.8,57.6,43.8,6.87,6.91,3.77,3.43,3.28,5.13,3.82,4.67,4.1,4.8,4.44,4.04,3.87,4.14,4.2,4.83,129.8314470447762,0.85,32.0,6.3,,,,,,,,,,,,,,
1927,indiana,,,,,,51.1,60.2,66.0,73.2,66.3,69.4,57.0,45.2,5.87,7.08,3.52,3.23,3.0,4.77,2.58,5.58,3.16,3.97,3.61,3.08,2.89,3.16,2.78,3.42,87.61777671607693,0.86,31.5,6.2,,,,,,,,,,,,,,
1927,iowa,,,,,,48.1,57.6,65.8,72.2,66.9,66.3,54.2,35.9,4.77,4.72,2.24,1.92,2.4,4.76,3.2,0.93,2.4,2.64,-0.75,-1.42,-1.84,-1.53,-1.16,-1.49,43.37796530864551,0.83,35.0,8.1,,,,,,,,,,,,,,
1927,minnesota,,,,,,41.4,49.9,61.3,65.3,62.2,58.8,46.6,23.4,2.63,3.74,3.4,2.76,2.14,2.61,1.65,1.2,2.51,2.98,-0.12,-0.21,-0.71,-0.87,-1.09,-1.23,29.769083702312383,0.75,31.0,7.1,,,,,,,,,,,,,,
1927,missouri,,,,,,57.1,64.3,69.9,75.3,70.5,70.8,60.0,46.1,8.58,6.64,5.78,4.33,5.26,3.54,4.58,3.77,4.39,4.62,4.69,4.69,5.23,4.82,4.91,5.02,51.30045064347205,,27.0,7.5,,,,,,,,,,,,,,
1927,nebraska,,,,,,47.6,58.0,65.8,72.4,67.1,63.5,54.0,35.8,4.88,2.68,3.7,2.08,3.35,2.1,0.61,0.34,2.93,2.6,2.68,2.56,3.22,3.05,-0.46,-0.69,17.647558476445553,0.74,32.1,6.3,,,,,,,,,,,,,,
1928,illinois,,,,,,47.4,62.4,66.0,75.5,74.3,61.9,56.6,41.3,3.23,2.55,6.93,3.77,3.46,2.27,4.08,3.55,2.57,1.74,2.95,2.78,2.59,2.17,2.43,2.69,130.81567267073078,0.8,38.0,7.0,,,,,,,,,,,,,,
1928,indiana,,,,,,46.5,60.0,65.0,73.8,73.6,61.4,56.6,41.6,2.9,2.89,6.91,3.46,3.72,1.32,3.41,3.08,1.57,1.02,2.39,2.08,2.04,1.3,1.29,1.14,88.19439010092107,0.83,35.2,6.9,,,,,,,,,,,,,,
1928,iowa,,,,,,43.1,61.7,63.9,73.3,71.9,59.5,53.0,37.0,2.19,2.48,5.38,4.33,6.32,2.94,3.64,3.77,-1.22,-1.76,0.61,0.92,1.96,2.01,2.63,3.65,43.537900453167346,0.76,41.5,8.4,,,,,,,,,,,,,,
1928,minnesota,,,,,,35.5,56.9,59.1,67.8,65.5,53.6,44.7,31.4,1.98,1.28,4.2,4.28,5.77,2.95,2.31,0.56,0.36,-1.21,0.25,0.69,2.03,2.31,2.67,2.41,29.81509465084764,0.7,35.0,7.6,,,,,,,,,,,,,,
1928,missouri,,,,,,50.5,65.2,67.4,77.0,76.1,64.2,60.1,43.2,4.91,2.85,10.93,2.81,5.47,2.47,3.62,5.02,3.02,2.04,4.09,3.53,3.92,3.34,3.07,3.59,51.65909473354107,,27.5,6.2,,,,,,,,,,,,,,
1928,nebraska,,,,,,44.8,61.1,61.9,72.9,72.4,60.9,50.5,35.5,0.4,3.53,4.64,4.18,1.45,1.15,2.64,1.73,-1.86,-2.02,0.71,1.42,-0.59,-1.01,0.89,1.53,17.725130162056303,0.77,22.0,4.6,,,,,,,,,,,,,,
1929,illinois,,,,,,53.9,59.1,68.6,75.4,71.4,65.0,52.9,35.9,5.35,5.85,4.77,4.7,2.48,2.71,3.51,1.76,2.63,3.16,3.29,3.47,2.99,2.6,2.75,2.43,131.33368615807527,0.76,35.5,7.1,,,,,,,,,,,,,,
1929,indiana,,,,,,53.5,58.6,67.8,74.2,70.2,65.0,51.1,36.8,4.97,7.08,4.34,4.28,2.7,2.98,3.8,2.65,1.08,2.18,2.25,2.27,1.94,1.77,2.18,2.21,88.57879902415048,0.77,31.3,6.8,,,,,,,,,,,,,,
1929,iowa,,,,,,50.1,57.0,66.8,73.5,71.0,61.4,50.6,30.5,4.49,2.39,2.86,4.2,2.49,3.78,2.94,1.18,3.41,-0.45,-0.96,-0.72,-1.22,-1.06,-0.67,-0.76,43.71560616930272,0.73,40.2,8.5,,,,,,,,,,,,,,
1929,minnesota,,,,,,42.2,50.0,61.8,69.2,66.4,54.3,45.1,23.5,1.81,1.99,2.0,2.42,2.01,3.85,2.17,0.65,-0.2,-0.49,-1.38,-2.0,-2.86,-2.07,-1.76,-2.1,29.58503990817135,0.67,36.5,7.4,,,,,,,,,,,,,,
1929,missouri,,,,,,56.5,61.2,70.9,77.6,75.4,67.1,56.4,37.9,6.08,7.62,5.68,3.84,2.57,3.04,5.58,1.34,3.4,4.22,4.26,4.05,3.42,2.87,3.4,2.9,51.96035576919904,,23.2,5.3,,,,,,,,,,,,,,
1929,nebraska,,,,,,48.3,56.3,66.5,75.4,74.3,58.3,50.6,29.7,3.14,2.81,3.04,3.05,1.57,2.89,2.86,0.97,1.28,1.15,0.93,1.14,-0.55,0.65,1.69,1.86,17.776844619130134,0.67,25.2,5.0,,,,,,,,,,,,,,
1930,illinois,,,,,,54.5,63.2,71.0,78.3,75.4,68.5,52.1,41.6,2.74,1.84,3.41,0.97,1.96,3.61,2.21,2.18,-1.08,-1.83,-1.94,-3.1,-3.84,-3.69,-3.72,-4.17,131.9898365753783,0.54,27.0,6.5,,,,,,,,,,,,,,
1930,indiana,,,,,,52.6,62.6,70.0,76.5,73.2,67.2,51.2,41.3,2.7,1.79,2.64,1.75,2.07,3.6,1.53,1.97,-1.12,-1.92,-2.35,-3.32,-3.97,-3.69,-4.07,-4.84,89.01812350784125,0.56,28.0,5.8,,,,,,,,,,,,,,
1930,iowa,,,,,,51.0,59.4,68.3,77.3,73.6,65.2,49.5,39.5,2.74,3.76,5.7,1.52,2.35,2.44,2.04,2.15,-1.26,-0.01,0.52,-1.0,-1.76,-2.32,-2.36,-2.44,43.98216474350579,0.52,34.0,8.0,,,,,,,,,,,,,,
1930,minnesota,,,,,,44.0,53.8,64.2,70.6,69.3,56.8,42.7,30.4,1.04,4.22,3.73,2.38,1.11,3.38,1.58,2.32,-2.55,-1.58,-1.55,-1.99,-3.46,-3.02,-2.95,-2.29,29.631050856706608,0.49,33.0,6.5,,,,,,,,,,,,,,
1930,missouri,,,,,,58.4,64.1,71.9,80.9,77.9,70.8,54.5,44.4,1.99,3.51,3.65,1.05,2.05,4.34,3.2,2.84,-1.74,-2.04,-2.06,-2.93,-3.58,-3.4,-3.19,-3.23,52.30465409566529,,16.0,4.5,,,,,,,,,,,,,,
1930,nebraska,,,,,,52.3,56.0,67.1,77.7,73.3,63.7,48.8,36.9,3.8,5.12,3.24,1.45,3.89,1.57,2.79,1.88,0.68,1.78,1.66,1.12,1.76,1.28,2.24,2.87,17.841487690472427,0.46,25.0,5.5,,,,,,,,,,,,,,
1931,illinois,,,,,,52.1,58.5,74.7,78.6,73.4,72.0,58.3,49.1,2.67,4.27,3.16,2.82,4.0,4.78,3.59,4.7,-6.37,-5.46,-5.37,-5.37,-4.72,-4.0,-3.48,-2.71,132.7323225739054,0.25,37.0,7.5,,,,,,,,,,,,,,
1931,indiana,,,,,,51.1,58.3,73.1,77.6,72.8,70.7,57.2,49.1,3.03,2.92,3.63,3.09,4.43,4.8,3.56,3.79,-6.45,-6.08,-5.74,-5.66,0.32,0.71,0.82,0.79,89.42999021130134,0.25,39.0,8.5,,,,,,,,,,,,,,
1931,iowa,,,,,,50.0,56.8,74.4,76.6,71.8,70.0,55.6,42.0,2.27,2.91,3.45,2.61,3.14,6.73,2.97,5.75,-3.88,-3.78,-4.16,-4.52,-4.63,0.64,0.69,2.24,44.10655874480055,0.28,32.9,7.0,,,,,,,,,,,,,,
1931,minnesota,,,,,,44.2,52.4,68.2,71.0,66.1,63.0,49.4,33.8,0.84,2.34,4.17,2.25,2.86,2.6,2.42,2.97,-3.79,-3.7,-3.56,-4.06,-4.19,-4.38,-4.13,-3.04,30.068154867791566,0.33,25.0,6.0,,,,,,,,,,,,,,
1931,missouri,,,,,,53.8,60.6,76.4,79.9,74.2,74.8,60.8,51.0,2.95,4.48,2.65,3.38,5.08,4.13,3.4,5.58,-3.2,-2.74,-3.18,-3.13,0.48,0.21,0.02,0.56,53.237128729844734,,26.0,6.3,,,,,,,,,,,,,,
1931,nebraska,,,,,,48.6,56.5,74.8,76.6,72.4,69.6,53.8,36.2,1.25,2.08,2.58,1.94,2.31,2.12,1.11,2.0,-0.32,-0.7,-1.47,-2.05,-2.22,-2.41,-2.48,0.75,17.89320214754626,0.3,17.0,4.2,,,,,,,,,,,,,,
1932,illinois,,,,,,52.0,63.4,73.2,76.8,73.8,64.8,53.1,35.4,1.8,2.36,3.93,3.32,5.63,2.89,3.86,1.68,-2.11,-2.58,-2.49,-2.51,0.82,0.65,1.04,0.77,133.57841126990144,0.27,43.0,8.0,,,,,,,,,,,,,,
1932,indiana,,,,,,50.2,61.6,72.0,75.5,72.8,64.7,53.0,36.4,2.68,1.36,4.4,3.42,3.48,5.79,3.93,2.49,-0.72,-1.67,-1.53,-1.73,-1.68,1.09,1.63,1.77,90.08897693683748,0.26,37.5,9.0,,,,,,,,,,,,,,
1932,iowa,,,,,,48.9,61.7,71.3,75.2,71.4,61.1,48.4,31.4,1.9,3.92,5.14,3.08,6.76,2.1,1.77,1.51,1.91,1.64,1.61,1.19,2.25,1.81,1.63,1.63,44.23095274609532,0.3,43.0,9.2,,,,,,,,,,,,,,
1932,minnesota,,,,,,41.5,55.6,67.3,69.7,67.6,56.1,41.2,24.0,1.94,3.06,2.85,2.87,3.5,1.09,1.57,1.93,-1.75,-1.65,-2.3,-2.56,-2.52,-3.27,-3.17,-2.75,30.436242456073636,0.28,37.5,7.2,,,,,,,,,,,,,,
1932,missouri,,,,,,56.7,65.4,74.6,79.4,76.8,67.0,54.9,38.2,2.51,1.96,4.85,3.77,5.24,2.28,3.54,1.87,-1.24,-2.1,-0.03,-0.07,0.49,-0.45,-0.3,-0.54,53.73923045594136,,28.0,6.5,,,,,,,,,,,,,,
1932,nebraska,,,,,,51.1,61.3,69.0,76.7,73.6,61.8,47.2,36.2,2.12,2.77,4.19,2.79,3.07,1.28,1.21,0.13,-0.27,-0.74,-0.49,-0.56,-0.32,-0.73,-0.57,-1.05,17.919059376083176,0.27,25.0,4.2,,,,,,,,,,,,,,
1933,illinois,,,,,,50.9,63.4,77.4,77.2,72.6,72.2,52.5,39.7,3.53,8.02,1.39,2.38,2.63,3.72,2.87,0.66,1.38,2.62,-1.31,-2.03,-2.4,-2.49,-2.36,-3.32,134.13095898973555,0.5,27.5,5.5,,,,,,,,,,,,,,
1933,indiana,,,,,,50.2,63.9,76.2,76.1,71.6,71.0,52.1,38.9,4.35,8.1,1.2,2.41,2.79,5.05,2.74,1.05,2.65,3.7,-1.45,-2.28,-2.6,-2.01,-1.96,-2.83,90.72050588214296,0.47,29.5,7.0,,,,,,,,,,,,,,
1933,iowa,,,,,,47.7,59.8,77.1,75.5,69.6,68.4,48.9,36.0,1.19,4.24,1.52,3.54,2.92,4.16,1.32,0.33,-0.7,-0.48,-2.1,-2.36,-2.68,-2.68,-2.95,-3.76,44.33757617577655,0.5,40.0,9.0,,,,,,,,,,,,,,
1933,minnesota,,,,,,40.1,54.8,71.4,71.6,65.9,61.5,41.0,24.2,1.54,3.48,2.04,2.55,1.74,3.04,1.55,0.95,-2.21,-1.76,-3.09,-3.76,-4.62,-4.54,-4.4,-4.67,30.74681635868663,0.44,31.0,6.5,,,,,,,,,,,,,,
1933,missouri,,,,,,53.9,65.5,77.6,78.9,74.8,73.8,55.5,44.7,3.67,7.53,1.4,2.5,3.98,4.6,2.97,0.97,0.55,1.42,-1.17,-1.76,-1.64,-1.63,-1.68,-2.48,54.1265660732159,,24.0,6.0,,,,,,,,,,,,,,
1933,nebraska,,,,,,47.4,56.6,76.6,76.9,70.2,67.6,51.4,39.5,2.87,3.04,1.06,2.89,4.01,2.35,0.06,0.3,-1.14,-1.16,-2.9,-3.16,-2.17,-2.14,-2.82,-3.16,17.90613076181472,0.41,22.5,4.5,,,,,,,,,,,,,,
1934,illinois,,,,,,52.1,67.2,78.2,81.0,74.4,64.0,57.0,45.1,1.72,0.99,3.03,3.21,3.92,6.56,1.7,5.53,-5.65,-6.53,-6.85,-7.05,-6.52,1.16,0.55,1.24,134.2000274547148,0.79,22.1,4.8,,,,,,,,,,,,,,
1934,indiana,,,,,,50.6,65.2,76.5,79.7,72.9,65.4,55.1,44.6,1.61,1.13,3.63,2.44,4.59,5.64,0.54,2.96,-4.1,-4.99,-5.16,-5.82,-5.04,-3.65,-4.29,-4.49,91.13237258560304,0.78,27.6,6.5,,,,,,,,,,,,,,
1934,iowa,,,,,,49.2,69.0,76.5,78.9,72.3,59.9,55.3,40.1,1.01,0.96,3.45,4.09,2.83,4.97,1.52,4.92,-5.68,-7.13,-7.49,-7.49,-7.66,-6.66,-6.66,0.8,44.60413474997961,0.79,28.2,6.0,,,,,,,,,,,,,,
1934,minnesota,,,,,,40.8,62.3,66.3,70.0,64.7,53.4,48.6,33.2,1.15,1.04,4.02,2.37,2.07,3.28,2.59,1.41,-6.0,-7.23,-7.08,-7.52,-7.79,-6.82,-6.11,-5.77,30.999876575630555,0.76,24.6,4.0,,,,,,,,,,,,,,
1934,missouri,,,,,,55.4,68.1,79.7,85.7,80.1,65.0,60.1,47.4,2.49,2.07,2.79,1.11,3.71,7.59,2.45,5.55,-3.82,-4.52,-4.99,-6.14,-6.16,1.03,0.58,1.25,54.284369472846265,,9.3,2.7,,,,,,,,,,,,,,
1934,nebraska,,,,,,50.8,68.4,73.7,81.4,75.0,58.4,55.5,39.8,0.54,1.12,3.05,1.16,1.79,2.55,0.86,1.09,-3.9,-5.85,-6.38,-7.91,-8.31,-7.22,-7.13,-6.54,17.867344919009344,0.87,6.2,1.5,,,,,,,,,,,,,,
1935,illinois,,,,,,48.5,56.9,67.5,78.3,74.7,66.0,54.6,39.0,2.56,7.83,5.67,3.47,2.43,3.24,2.02,4.6,0.89,2.42,3.04,-0.11,-0.53,-0.52,-0.81,-0.19,134.63170536083524,0.64,38.5,8.0,,,,,,,,,,,,,,
1935,indiana,,,,,,48.0,56.7,67.2,76.9,74.0,65.0,53.9,40.2,2.37,6.78,4.56,3.57,3.17,2.66,1.86,3.53,-3.57,-2.01,-1.39,-1.42,-1.41,-1.44,-1.71,-1.6,91.4893237286018,0.57,38.0,8.5,,,,,,,,,,,,,,
1935,iowa,,,,,,45.6,54.2,65.2,78.8,72.7,64.0,49.6,32.2,1.94,4.52,6.99,3.27,2.48,3.34,2.67,2.69,-0.69,0.59,1.74,1.24,0.48,0.19,0.29,0.67,44.852922752569135,0.62,38.0,8.9,,,,,,,,,,,,,,
1935,minnesota,,,,,,38.5,50.4,59.9,73.9,67.1,56.1,43.4,20.9,2.4,2.21,4.65,3.96,4.57,1.3,1.83,1.07,0.6,0.33,0.91,0.98,1.54,0.75,0.74,0.58,31.252936792574477,0.54,34.5,7.1,,,,,,,,,,,,,,
1935,missouri,,,,,,51.3,60.0,69.2,80.4,77.2,67.5,56.1,40.8,2.82,8.44,9.24,3.26,2.2,3.59,3.58,4.28,1.13,2.53,3.94,-0.12,-0.65,-0.71,-0.58,-0.08,54.48521016328491,,19.0,4.5,,,,,,,,,,,,,,
1935,nebraska,,,,,,44.0,51.6,65.5,80.0,74.0,63.1,48.4,32.4,3.54,6.16,3.71,1.39,2.47,1.57,0.74,0.96,-4.97,-2.86,-2.25,-2.62,-2.56,-2.67,-2.67,-2.24,17.776844619130134,0.61,13.5,3.0,,,,,,,,,,,,,,
1936,illinois,,,,,,47.6,66.4,71.9,82.8,79.9,69.9,53.9,37.5,2.4,2.07,1.69,1.18,2.72,6.7,3.19,2.27,-1.32,-2.12,-2.94,-4.4,-5.06,0.85,0.85,0.49,135.37419135936236,1.05,24.0,5.4,,,,,,,,,,,,,,
1936,indiana,,,,,,46.3,64.6,70.9,80.5,78.2,69.5,53.3,36.9,3.05,2.06,1.3,1.57,3.19,4.83,4.46,3.5,-1.88,-2.61,-3.57,-4.91,-5.3,0.23,0.59,0.54,91.92864821229256,1.0,25.6,5.5,,,,,,,,,,,,,,
1936,iowa,,,,,,44.6,65.5,69.3,82.7,78.2,67.0,49.5,33.8,1.08,2.78,2.86,0.56,3.49,6.99,1.6,0.66,-1.05,-1.7,-2.24,-4.08,-4.67,-3.54,-3.51,-3.88,44.586364178366075,1.07,20.0,3.5,,,,,,,,,,,,,,
1936,minnesota,,,,,,34.7,58.9,62.7,75.8,69.1,60.2,40.3,24.0,1.3,2.62,1.89,0.81,2.95,2.24,0.74,1.01,-0.03,-0.6,-1.65,-3.69,-4.24,-4.64,-5.0,-5.43,31.448483323849327,1.03,22.0,4.0,,,,,,,,,,,,,,
1936,missouri,,,,,,52.0,68.2,76.0,84.8,83.9,72.8,55.8,40.8,2.37,2.59,1.48,1.49,0.91,8.57,3.51,1.86,-1.9,-2.62,-3.5,-4.66,-6.04,1.0,1.05,0.72,54.5282474540932,,10.5,3.0,,,,,,,,,,,,,,
1936,nebraska,,,,,,45.5,63.3,71.7,82.7,78.0,66.4,48.7,35.6,1.63,3.12,1.98,0.54,1.6,1.66,0.38,0.33,-2.07,-2.48,-3.46,-5.35,-6.26,-6.3,-6.27,-6.14,17.557058176566343,1.16,5.5,1.2,,,,,,,,,,,,,,
1937,illinois,,,,,,50.3,62.7,70.7,75.0,77.0,65.3,51.8,36.9,4.83,3.2,5.11,3.13,2.48,2.35,3.56,1.47,1.38,0.89,1.27,-0.11,-0.62,-0.94,-0.53,-0.91,135.66773233552425,0.47,48.0,7.5,,,,,,,,,,,,,,
1937,indiana,,,,,,49.7,61.5,69.9,73.7,75.2,63.6,50.8,37.2,5.0,3.58,4.62,3.64,3.58,3.18,4.71,1.73,1.95,1.54,1.68,1.51,1.38,1.39,2.2,2.02,92.64255049829006,0.45,45.0,8.5,,,,,,,,,,,,,,
1937,iowa,,,,,,46.6,61.2,68.2,75.3,76.9,64.9,49.0,32.1,3.19,3.97,3.71,2.52,4.11,1.54,2.09,0.71,-1.6,-1.46,-1.59,-1.95,-2.03,-2.8,-2.72,-3.16,44.39088789061716,0.44,45.0,8.6,,,,,,,,,,,,,,
1937,minnesota,,,,,,38.9,55.7,62.8,70.7,71.9,57.6,41.4,26.2,3.85,3.91,2.88,3.61,4.24,2.14,1.01,0.76,-3.77,-2.97,-3.16,-2.84,-2.49,-2.65,-2.8,-3.1,31.586516169455106,0.43,37.5,7.5,,,,,,,,,,,,,,
1937,missouri,,,,,,53.4,65.5,73.7,77.5,79.7,68.5,55.3,39.3,3.84,3.89,4.87,4.0,2.09,2.19,2.37,1.86,-0.49,-0.77,-0.59,-0.25,-0.81,-1.33,-1.57,-1.96,54.42782710887387,,27.5,6.3,,,,,,,,,,,,,,
1937,nebraska,,,,,,46.7,61.1,67.6,77.4,78.7,65.9,50.2,34.2,1.28,2.56,3.3,2.6,1.93,1.56,1.56,0.22,-5.02,-5.49,-5.42,-5.76,-6.37,-6.39,-5.64,-5.58,17.31141450546564,0.51,12.0,2.3,,,,,,,,,,,,,,
1938,illinois,,,,,,53.1,61.9,69.8,76.3,76.6,67.9,59.0,42.9,3.12,5.15,5.15,4.74,3.38,3.15,1.31,2.3,0.9,1.22,1.64,1.96,0.04,-0.04,-0.72,-1.03,135.82313638172758,0.45,44.0,9.0,,,,,,,,,,,,,,
1938,indiana,,,,,,52.9,61.4,68.9,74.7,74.9,67.0,56.5,43.2,2.56,5.42,5.22,5.17,3.14,2.95,0.86,2.91,1.5,1.81,2.22,2.61,-0.04,-0.07,-0.86,-1.09,92.97204386105814,0.45,41.0,8.0,,,,,,,,,,,,,,
1938,iowa,,,,,,49.2,58.8,68.6,75.9,74.8,65.8,58.2,35.7,3.62,5.49,4.57,4.57,3.5,5.95,0.85,2.7,0.27,0.99,0.93,1.18,0.89,1.64,0.78,1.2,44.31980560416301,0.46,46.0,10.0,,,,,,,,,,,,,,
1938,minnesota,,,,,,41.6,51.9,63.8,69.2,70.0,58.8,50.6,25.2,3.13,6.03,3.17,3.18,2.63,3.16,0.51,1.88,0.65,2.5,-0.41,-0.5,-1.22,-1.12,-2.2,-2.01,31.667035329391805,0.43,36.5,8.0,,,,,,,,,,,,,,
1938,missouri,,,,,,55.5,64.2,71.7,79.1,80.4,70.6,62.7,44.4,3.72,6.32,4.72,3.55,2.69,1.94,1.26,4.29,0.75,1.25,1.26,1.19,-0.48,-1.2,-2.15,-1.91,54.24133218203798,,26.0,6.0,,,,,,,,,,,,,,
1938,nebraska,,,,,,49.1,57.2,69.7,76.2,76.7,66.2,57.5,33.9,3.06,4.84,2.72,3.31,1.9,2.94,0.16,0.71,-4.58,-3.6,-3.84,-3.5,-3.91,-3.29,-4.06,-3.75,17.14334251997568,0.47,15.5,3.4,,,,,,,,,,,,,,
1939,illinois,,,,,,48.3,65.2,72.7,75.8,72.4,71.2,56.5,39.8,4.94,2.38,5.18,3.53,4.8,0.72,2.18,1.33,1.65,-0.76,0.32,0.23,0.82,-1.19,-1.5,-2.24,136.23754717160318,0.52,51.0,9.6,,,,,,,,,,,,,,
1939,indiana,,,,,,47.2,64.0,72.5,74.0,72.2,70.6,55.7,39.0,5.66,1.49,6.24,4.07,2.65,0.82,2.77,1.41,2.14,-1.1,-0.31,-0.2,-0.51,-1.71,-1.85,-2.68,93.43882612497956,0.52,50.0,9.4,,,,,,,,,,,,,,
1939,iowa,,,,,,46.7,65.7,70.8,75.6,69.8,68.2,52.2,38.1,2.0,2.04,4.92,3.2,4.67,0.84,1.48,0.49,-0.36,-1.4,-1.25,-1.52,-1.12,-2.32,-2.7,-3.51,44.781840466114986,0.53,52.2,10.4,,,,,,,,,,,,,,
1939,minnesota,,,,,,38.6,59.1,64.3,70.4,67.3,59.1,42.7,33.3,1.34,2.24,4.99,2.23,4.0,1.55,1.72,0.08,-1.62,-2.26,-1.64,-2.2,-1.87,-2.55,-2.46,-3.35,31.87408459780047,0.5,47.0,8.0,,,,,,,,,,,,,,
1939,missouri,,,,,,52.4,66.6,73.8,79.4,74.7,74.6,60.2,41.9,4.97,4.13,5.73,2.95,4.63,0.82,1.85,2.6,1.01,0.6,0.91,0.65,1.04,-1.13,-1.75,-2.0,54.2700237092435,,30.3,6.7,,,,,,,,,,,,,,
1939,nebraska,,,,,,48.1,64.6,69.0,78.8,71.8,68.1,51.8,38.6,1.37,2.59,3.72,1.87,2.16,0.46,0.79,0.03,-3.45,-4.22,-4.11,-4.93,-5.04,-5.93,-5.81,-6.04,17.039913605828012,0.56,14.2,2.1,,,,,,,,,,,,,,
1940,illinois,,,,,,49.6,58.9,72.3,76.1,74.0,65.5,58.6,38.2,3.95,3.38,3.02,1.57,4.24,0.6,2.23,2.86,-3.16,-2.92,-3.03,-3.63,-3.13,-3.97,-4.16,-4.19,136.49655391527543,0.61,43.0,8.5,,,,,,,,,,,,,,
1940,indiana,,,,,,47.6,57.9,71.3,74.8,74.2,63.8,56.8,38.8,5.4,4.27,3.32,1.42,2.62,1.21,2.34,3.5,-2.58,-2.09,-2.19,-3.04,-3.42,-4.0,-4.23,-4.27,94.26255953189975,0.63,37.0,7.0,,,,,,,,,,,,,,
1940,iowa,,,,,,46.4,57.6,70.6,76.1,69.7,64.9,56.5,31.6,3.15,2.02,3.67,4.56,6.42,0.87,2.32,2.51,-3.85,-4.11,-4.13,-3.58,-2.18,-2.87,-2.82,-2.25,45.08394018354513,0.57,52.5,10.0,,,,,,,,,,,,,,
1940,minnesota,,,,,,38.8,52.6,62.9,70.3,64.9,60.8,49.3,23.4,2.72,1.88,3.35,3.13,4.08,1.19,2.69,2.5,-3.74,-3.9,-3.83,-3.76,-3.05,-3.85,0.03,0.63,32.092636603342946,0.53,41.0,8.0,,,,,,,,,,,,,,
1940,missouri,,,,,,52.9,62.0,72.9,77.2,74.7,67.9,61.8,40.6,4.39,2.45,4.5,1.64,5.9,0.74,1.72,3.4,-2.2,-2.62,-2.35,-2.75,-1.72,-2.52,-3.12,-2.97,54.31306100005178,,31.0,6.9,,,,,,,,,,,,,,
1940,nebraska,,,,,,46.7,58.8,70.6,78.9,71.7,67.7,56.5,31.5,2.39,0.97,2.94,1.68,1.95,1.16,1.48,1.02,-4.23,-5.28,-5.55,-6.39,-6.52,-6.84,-6.41,-5.63,17.014056377291098,0.58,20.5,2.0,,,,,,,,,,,,,,
1941,illinois,,,,,,55.8,66.0,72.5,76.2,75.3,69.1,57.6,42.2,3.81,3.17,4.34,2.83,2.73,5.15,9.06,2.64,-3.91,-4.03,-3.56,-3.57,-3.69,0.49,2.79,2.93,138.05059437730893,0.74,53.0,10.5,,,,,,,,,,,,,,
1941,indiana,,,,,,55.6,64.3,71.4,75.4,73.5,69.4,57.4,42.0,2.65,2.21,5.32,2.55,2.31,2.14,6.69,2.9,-5.21,-5.52,-4.54,-4.69,-4.91,-5.15,1.17,1.13,95.6354485434334,0.76,45.0,8.5,,,,,,,,,,,,,,
1941,iowa,,,,,,52.7,65.4,69.3,74.5,74.1,65.4,53.1,38.2,2.52,3.16,6.14,2.21,2.0,7.43,5.81,1.83,-1.56,-1.99,-1.16,-1.62,-2.37,1.19,2.7,2.8,44.26649388932239,0.72,51.0,10.0,,,,,,,,,,,,,,
1941,minnesota,,,,,,47.1,59.1,64.8,70.6,67.0,58.2,46.0,30.5,3.03,3.42,4.92,2.24,4.06,5.17,2.82,0.49,0.72,0.53,0.91,0.18,0.4,1.58,2.15,1.9,31.26443952970829,0.65,45.0,8.5,,,,,,,,,,,,,,
1941,missouri,,,,,,58.0,68.1,73.4,78.8,78.5,70.7,60.5,43.9,4.5,2.32,4.32,2.95,3.17,6.18,10.4,2.32,-2.54,-3.28,-3.09,-3.12,-3.22,0.51,2.87,2.75,54.6717050901208,,29.5,6.8,,,,,,,,,,,,,,
